2018-02-24 2:26AM,2018-02-24 10:12AM,446,20,2,466,N/A,N/A,N/A
2018-02-23 5:56PM,2018-02-23 7:27PM,85,6,1,91,N/A,N/A,N/A
2018-02-22 9:56PM,2018-02-23 5:28AM,412,39,24,451,38,301,73
2018-02-22 12:40AM,2018-02-22 6:42AM,321,40,16,361,46,218,57
2018-02-21 4:42PM,2018-02-21 6:20PM,93,5,0,98,N/A,N/A,N/A
2018-02-21 12:32AM,2018-02-21 6:47AM,335,40,20,375,37,241,57
2018-02-20 12:34AM,2018-02-20 6:47AM,326,47,17,373,48,242,36
2018-02-19 1:19AM,2018-02-19 10:58AM,490,89,38,579,68,363,59
2018-02-18 5:40PM,2018-02-18 6:56PM,65,10,1,76,N/A,N/A,N/A
2018-02-18 1:27AM,2018-02-18 9:54AM,443,63,29,506,64,303,76
2018-02-16 9:26PM,2018-02-17 8:37AM,553,117,36,670,82,378,93
2018-02-14 10:51PM,2018-02-15 6:39AM,432,35,3,467,N/A,N/A,N/A
2018-02-13 10:40PM,2018-02-14 6:34AM,422,52,21,474,55,281,86
2018-02-12 10:35PM,2018-02-13 6:43AM,421,67,31,488,52,300,69
2018-02-11 11:04PM,2018-02-12 6:38AM,381,72,19,453,45,289,47
2018-02-11 2:35AM,2018-02-11 10:01AM,405,40,23,445,41,286,78
2018-02-10 6:26PM,2018-02-10 7:40PM,68,6,0,74,N/A,N/A,N/A
2018-02-09 10:55PM,2018-02-10 8:27AM,501,70,32,571,102,287,112
2018-02-09 12:30AM,2018-02-09 6:30AM,319,41,20,360,36,211,72
2018-02-08 6:27PM,2018-02-08 7:36PM,68,1,0,69,N/A,N/A,N/A
2018-02-07 9:49PM,2018-02-08 5:54AM,458,27,2,485,N/A,N/A,N/A
2018-02-06 10:43PM,2018-02-07 5:10AM,334,53,20,387,29,255,50
2018-02-06 5:04PM,2018-02-06 6:23PM,70,8,0,78,N/A,N/A,N/A
2018-02-05 9:51PM,2018-02-06 6:15AM,437,67,25,504,69,302,66
2018-02-04 10:51PM,2018-02-05 6:27AM,398,57,20,455,51,280,67
2018-01-27 11:27PM,2018-01-28 2:30AM,163,20,7,183,18,115,30
2018-01-25 11:02PM,2018-01-26 4:59AM,319,38,13,357,68,225,26
2018-01-25 12:12AM,2018-01-25 6:00AM,326,21,16,347,56,255,15
2018-01-24 12:55AM,2018-01-24 8:22AM,377,70,17,447,61,262,54
2018-01-23 4:34PM,2018-01-23 6:09PM,89,6,1,95,N/A,N/A,N/A
2018-01-23 12:26AM,2018-01-23 8:46AM,437,63,25,500,65,286,86
2018-01-21 11:45PM,2018-01-22 6:58AM,394,39,23,433,58,262,74
2018-01-20 11:56PM,2018-01-21 8:30AM,470,44,26,514,57,354,59
2018-01-20 11:09AM,2018-01-20 12:28PM,72,7,0,79,N/A,N/A,N/A
2018-01-20 1:27AM,2018-01-20 9:42AM,425,70,22,495,91,266,68
